Line;Time;clk 1;Boolean Input 1;Floating Point Input 1;
1;0;Falsch;Falsch;0;
2;0.01;Wahr;Wahr;3;
3;0.02;Wahr;Wahr;3;
4;0.03;Wahr;Wahr;3;
5;0.04;Falsch;Wahr;2;
6;0.05;Falsch;Wahr;2;
7;0.06;Wahr;Falsch;1;
8;0.07;Wahr;Falsch;1;
9;0.08;Falsch;Falsch;0;
10;0.09;Falsch;Falsch;0;
11;0.1;Wahr;Wahr;3;
12;0.11;Wahr;Wahr;3;
13;0.12;Falsch;Wahr;2;
14;0.13;Falsch;Wahr;2;
15;0.14;Wahr;Falsch;1;
16;0.15;Wahr;Falsch;1;
17;0.16;Falsch;Falsch;0;
18;0.17;Falsch;Falsch;0;
19;0.18;Wahr;Wahr;3;
20;0.19;Wahr;Wahr;3;
21;0.2;Falsch;Wahr;2;
22;0.21;Falsch;Wahr;2;
23;0.22;Wahr;Falsch;1;
24;0.23;Wahr;Falsch;1;
25;0.24;Falsch;Falsch;0;
26;0.25;Falsch;Falsch;0;
27;0.26;Wahr;Wahr;3;
28;0.27;Wahr;Wahr;3;
29;0.28;Falsch;Wahr;2;
30;0.29;Falsch;Wahr;2;
31;0.3;Wahr;Falsch;1;
32;0.31;Wahr;Falsch;1;
33;0.32;Falsch;Falsch;0;
34;0.33;Falsch;Falsch;0;
35;0.34;Wahr;Wahr;3;
36;0.35;Wahr;Wahr;3;
37;0.36;Falsch;Wahr;2;
38;0.37;Falsch;Wahr;2;
39;0.38;Wahr;Falsch;1;
40;0.39;Wahr;Falsch;1;
41;0.4;Falsch;Falsch;0;
42;0.41;Falsch;Falsch;0;
43;0.42;Wahr;Wahr;3;
44;0.43;Wahr;Wahr;3;
45;0.44;Falsch;Wahr;2;
46;0.45;Falsch;Wahr;2;
47;0.46;Wahr;Falsch;1;
48;0.47;Wahr;Falsch;1;
49;0.48;Falsch;Falsch;0;
50;0.49;Falsch;Falsch;0;
51;0.5;Wahr;Wahr;3;
52;0.51;Wahr;Wahr;3;
