Line;Time;Clk 1;Clk 2;RC;RB;A;B;C;D;
1;0;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;Falsch;
2;0.01;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
3;0.02;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
4;0.03;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
5;0.04;Wahr;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
6;0.05;Falsch;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
7;0.06;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
8;0.07;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
9;0.08;Wahr;Falsch;Falsch;Falsch;Wahr;Wahr;Wahr;Falsch;
10;0.09;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Wahr;Falsch;
11;0.1;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;
12;0.11;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;
13;0.12;Wahr;Wahr;Falsch;Falsch;Wahr;Falsch;Falsch;Wahr;
14;0.13;Falsch;Wahr;Falsch;Falsch;Wahr;Falsch;Falsch;Wahr;
15;0.14;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Wahr;
16;0.15;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Wahr;
17;0.16;Wahr;Falsch;Wahr;Falsch;Wahr;Wahr;Falsch;Falsch;
18;0.17;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;Falsch;
19;0.18;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
20;0.19;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
21;0.2;Wahr;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
22;0.21;Falsch;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
23;0.22;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
24;0.23;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
25;0.24;Wahr;Falsch;Falsch;Falsch;Wahr;Wahr;Wahr;Falsch;
26;0.25;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Wahr;Falsch;
27;0.26;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;
28;0.27;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;
29;0.28;Wahr;Wahr;Falsch;Falsch;Wahr;Falsch;Falsch;Wahr;
30;0.29;Falsch;Wahr;Falsch;Falsch;Wahr;Falsch;Falsch;Wahr;
31;0.3;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Wahr;
32;0.31;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Wahr;
33;0.32;Wahr;Falsch;Wahr;Falsch;Wahr;Wahr;Falsch;Falsch;
34;0.33;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;Falsch;
35;0.34;Wahr;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
36;0.35;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;
37;0.36;Wahr;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
38;0.37;Falsch;Wahr;Falsch;Falsch;Wahr;Falsch;Wahr;Falsch;
39;0.38;Wahr;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
40;0.39;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Wahr;Falsch;
41;0.4;Wahr;Falsch;Falsch;Falsch;Wahr;Wahr;Wahr;Falsch;
